S/N,STATE,SENATORIAL ZONE,LGA,WARD,PU,DELIMITATION
2606,PLATEAU,SOUTHERN,WASE,Nyalum/kampani,PRY. SCH. KAMPANI II,31/17/09/007
2607,PLATEAU,SOUTHERN,WASE,Nyalum/kampani,ZURAK GALADIMA,31/17/09/008
2608,PLATEAU,SOUTHERN,WASE,Nyalum/kampani,BANGALALA,31/17/09/009
2609,PLATEAU,SOUTHERN,WASE,Nyalum/kampani,ADUWA,31/17/09/010
2610,PLATEAU,SOUTHERN,WASE,Nyalum/kampani,UNG. GALADIMA,31/17/09/011
2611,PLATEAU,SOUTHERN,WASE,Saluwe,UNG. GALADIMA(TURAKI),31/17/10/001
2612,PLATEAU,SOUTHERN,WASE,Saluwe,NAMARAM,31/17/10/002
2613,PLATEAU,SOUTHERN,WASE,Saluwe,"PRY. SCHOOL, TAKALAFIYA",31/17/10/003
2614,PLATEAU,SOUTHERN,WASE,Saluwe,"PRY. SCHOOL, KUKA",31/17/10/004
2615,PLATEAU,SOUTHERN,WASE,Saluwe,"PRY. SCHOOL, GYAMBAR",31/17/10/005
2616,PLATEAU,SOUTHERN,WASE,Wase tofa,WASE TOFA,31/17/11/001
2617,PLATEAU,SOUTHERN,WASE,Wase tofa,UNG. GAR. PRY. SCHOOL,31/17/11/002
2618,PLATEAU,SOUTHERN,WASE,Wase tofa,PAKO,31/17/11/003
2619,PLATEAU,SOUTHERN,WASE,Wase tofa,"PRY. SCHOOL, ZANGO/GBAK",31/17/11/004
2620,PLATEAU,SOUTHERN,WASE,Wase tofa,GANDU,31/17/11/005
2621,PLATEAU,SOUTHERN,WASE,Wase tofa,"PRY. SCHOOL, KOGIN KASA",31/17/11/006
2622,PLATEAU,SOUTHERN,WASE,Wase tofa,WANDAI,31/17/11/007
2623,PLATEAU,SOUTHERN,WASE,Yola wakat,PRY. SCHOOL YOLA WAKAT,31/17/12/001
2624,PLATEAU,SOUTHERN,WASE,Yola wakat,GUMSHAR,31/17/12/002
2625,PLATEAU,SOUTHERN,WASE,Yola wakat,DAMNA LAKA,31/17/12/003
2626,PLATEAU,SOUTHERN,WASE,Yola wakat,"PRY. SCHOOL, NASSARAWA",31/17/12/004
2627,PLATEAU,SOUTHERN,WASE,Yola wakat,KINKAS,31/17/12/005
2628,PLATEAU,SOUTHERN,WASE,Yola wakat,"PRY. SCHOOL, LAMBA/KULWA",31/17/12/006
2629,PLATEAU,SOUTHERN,WASE,Yola wakat,DANGYAM,31/17/12/007
2630,PLATEAU,SOUTHERN,WASE,Yola wakat,YIPLAK,31/17/12/008
2631,PLATEAU,SOUTHERN,WASE,Yola wakat,DEM,31/17/12/009
